SITE,year,month,monthly_mean
ABUR,2002,Aug,14.724
ABUR,2002,Sep,14.612
ABUR,2002,Oct,15.402
ABUR,2002,Nov,15.217
ABUR,2002,Dec,14.974
ABUR,2003,Jan,14.98
ABUR,2003,Feb,14.919
ABUR,2003,Mar,13.092
ABUR,2003,Apr,11.939
ABUR,2003,May,12.484
ABUR,2003,Jun,14.776
ABUR,2003,Jul,15.805
ABUR,2003,Aug,14.122
ABUR,2003,Sep,15.553
ABUR,2003,Oct,16.431
ABUR,2003,Nov,16.032
ABUR,2003,Dec,14.127
ABUR,2004,Jan,13.447
ABUR,2004,Feb,13
ABUR,2004,Mar,13.818
ABUR,2004,Apr,13.895
ABUR,2004,May,13.807
ABUR,2004,Jun,15.217
ABUR,2004,Jul,14.604
ABUR,2004,Aug,15.991
ABUR,2004,Sep,17.761
ABUR,2004,Oct,17.335
ABUR,2004,Nov,16.331
ABUR,2004,Dec,14.876
ABUR,2005,Jan,14.522
ABUR,2005,Feb,14.618
ABUR,2005,Mar,14.074
ABUR,2005,Apr,12.071
ABUR,2005,May,12.933
ABUR,2005,Jun,13.422
ABUR,2005,Jul,14.622
ABUR,2005,Aug,16.059
ABUR,2005,Sep,15.337
ABUR,2005,Oct,14.968
ABUR,2005,Nov,15.896
ABUR,2005,Dec,14.842
ABUR,2006,Jan,13.49
ABUR,2006,Feb,13.481
ABUR,2006,Mar,11.672
ABUR,2006,Apr,12.396
ABUR,2006,May,13.513
ABUR,2006,Jun,14.325
ABUR,2006,Jul,14.955
ABUR,2006,Aug,16.362
ABUR,2006,Sep,16.143
ABUR,2006,Oct,16.604
ABUR,2006,Nov,16.575
ABUR,2006,Dec,14.932
ABUR,2007,Jan,13.435
ABUR,2007,Feb,13.681
ABUR,2007,Mar,12.802
ABUR,2007,Apr,12.57
ABUR,2007,May,12.167
ABUR,2007,Jun,14.702
ABUR,2007,Jul,16.145
ABUR,2007,Aug,15.468
ABUR,2007,Sep,15.5
ABUR,2007,Oct,13.885
ABUR,2007,Nov,14.294
ABUR,2007,Dec,13.082
ABUR,2008,Jan,12.778
ABUR,2008,Feb,12.503
ABUR,2008,Mar,12.119
ABUR,2008,Apr,11.782
ABUR,2008,May,12.741
ABUR,2008,Jun,14.091
ABUR,2008,Jul,15.613
ABUR,2008,Aug,17.403
ABUR,2008,Sep,16.379
ABUR,2008,Oct,15.599
ABUR,2008,Nov,15.507
ABUR,2008,Dec,13.95
ABUR,2009,Jan,13.191
ABUR,2009,Feb,12.77
ABUR,2009,Mar,12.761
ABUR,2009,Apr,12.285
ABUR,2009,May,13.056
ABUR,2009,Jun,14.505
ABUR,2009,Jul,14.383
ABUR,2009,Aug,14.82
ABUR,2009,Sep,16.963
ABUR,2009,Oct,17.353
ABUR,2009,Nov,15.791
ABUR,2009,Dec,14.325
ABUR,2010,Jan,14.558
ABUR,2010,Feb,14.377
ABUR,2010,Mar,12.928
ABUR,2010,Apr,12.531
ABUR,2010,May,11.771
ABUR,2010,Jun,15.074
ABUR,2010,Jul,13.892
ABUR,2010,Aug,13.344
ABUR,2010,Sep,13.86
ABUR,2010,Oct,15.883
ABUR,2010,Nov,14.355
ABUR,2010,Dec,13.161
ABUR,2011,Jan,13.104
ABUR,2011,Feb,13.504
ABUR,2011,Mar,11.831
ABUR,2011,Apr,12.236
ABUR,2011,May,12.082
ABUR,2011,Jun,13.712
ABUR,2011,Jul,15.781
ABUR,2011,Aug,15.261
ABUR,2011,Sep,15.3
ABUR,2011,Oct,15.147
ABUR,2011,Nov,14.719
ABUR,2011,Dec,14.183
ABUR,2012,Jan,14.017
